TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2018,8,14,3,0,4XX E 21ST AVE,Riley Park,492983.8637,5455470.725
Break and Enter Residential/Other,2018,7,10,19,0,4XX E 21ST AVE,Riley Park,493066.2585,5455468.881
Break and Enter Residential/Other,2018,6,8,9,47,4XX E 21ST AVE,Riley Park,493129.9272,5455467.455
Break and Enter Residential/Other,2018,2,13,8,15,4XX E 21ST AVE,Riley Park,493156.1437,5455466.868
Break and Enter Residential/Other,2018,4,16,20,0,4XX E 22ND AVE,Riley Park,493010.5312,5455370.572
Break and Enter Residential/Other,2018,10,31,10,30,4XX E 28TH AVE,Riley Park,493016.2777,5454762.152
Break and Enter Residential/Other,2018,7,28,2,14,4XX E 37TH AVE,Riley Park,493058.0322,5453817.139
Break and Enter Residential/Other,2018,11,20,19,0,4XX E 43RD AVE,Sunset,492994.4901,5453144.326
Break and Enter Residential/Other,2018,2,20,15,5,4XX E 44TH AVE,Sunset,492958.3264,5453054.2
Break and Enter Residential/Other,2018,5,6,15,45,4XX E 44TH AVE,Sunset,493094.4386,5453041.392
Break and Enter Residential/Other,2018,4,29,7,15,4XX E 53RD AVE,Sunset,492960.8876,5452118.019
Break and Enter Residential/Other,2018,9,30,0,50,4XX E 53RD AVE,Sunset,493028.0993,5452115.979
Break and Enter Residential/Other,2018,6,6,10,30,4XX E 57TH AVE,Sunset,492914.7273,5451742.142
Break and Enter Residential/Other,2018,1,23,20,21,4XX E 58TH AVE,Sunset,492928.6217,5451604.949
Break and Enter Residential/Other,2018,11,11,9,0,4XX E 60TH AVE,Sunset,493097.4575,5451445.293
Break and Enter Residential/Other,2018,11,28,23,0,4XX E 64TH AVE,Sunset,492961.6026,5451058.972
Break and Enter Residential/Other,2018,12,15,16,0,4XX E 64TH AVE,Sunset,492981.3301,5451058.564
Break and Enter Residential/Other,2018,9,20,17,30,4XX E CORDOVA ST,Strathcona,493084.9879,5458827.356
Break and Enter Residential/Other,2018,11,19,0,0,4XX E CORDOVA ST,Strathcona,493096.0454,5458827.102
Break and Enter Residential/Other,2018,4,23,1,39,4XX HEATLEY AVE,Strathcona,493483.3027,5458697.696
Break and Enter Residential/Other,2018,6,3,16,2,4XX HEATLEY AVE,Strathcona,493491.4388,5458661.773
Break and Enter Residential/Other,2018,8,20,23,0,4XX HELMCKEN ST,Central Business District,491082.8346,5458238.583
Break and Enter Residential/Other,2018,2,17,16,56,4XX KEEFER ST,Strathcona,493092.4249,5458515.191
Break and Enter Residential/Other,2018,3,26,0,0,4XX KEEFER ST,Strathcona,493108.111,5458514.72
Break and Enter Residential/Other,2018,8,17,22,0,4XX PRINCESS AVE,Strathcona,493341.7257,5458687.469
Break and Enter Residential/Other,2018,10,23,9,15,4XX PRIOR ST,Strathcona,493057.1415,5458224.251
Break and Enter Residential/Other,2018,2,5,22,32,4XX PRIOR ST,Strathcona,493076.2936,5458223.883
Break and Enter Residential/Other,2018,11,17,23,26,4XX SW MARINE DR,Marpole,491564.3724,5450897.045
Break and Enter Residential/Other,2018,10,1,6,0,4XX TERMINAL AVE,Strathcona,493114.4002,5457675.241
Break and Enter Residential/Other,2018,12,9,22,15,4XX UNION ST,Strathcona,493117.8534,5458313.132
Break and Enter Residential/Other,2018,9,28,17,30,4XX UNION ST,Strathcona,493144.0124,5458312.413
Break and Enter Residential/Other,2018,9,19,18,30,4XX VERNON DR,Strathcona,494236.5556,5458648.233
Break and Enter Residential/Other,2018,2,25,10,40,4XX W 13TH AVE,Mount Pleasant,491737.3505,5456305.256
Break and Enter Residential/Other,2018,12,1,8,48,4XX W 15TH AVE,Mount Pleasant,491722.9175,5456117.14
Break and Enter Residential/Other,2018,9,28,17,0,4XX W 17TH AVE,Riley Park,491658.0491,5455909.63
Break and Enter Residential/Other,2018,5,21,1,0,4XX W 17TH AVE,Riley Park,491664.9555,5455900.177
Break and Enter Residential/Other,2018,5,22,12,41,4XX W 18TH AVE,Riley Park,491734.0722,5455797.651
Break and Enter Residential/Other,2018,9,22,4,30,4XX W 19TH AVE,Riley Park,491659.5734,5455688.579
Break and Enter Residential/Other,2018,6,15,4,37,4XX W 19TH AVE,Riley Park,491663.7422,5455697.582
Break and Enter Residential/Other,2018,12,17,17,39,4XX W 23RD AVE,Riley Park,491764.9572,5455257.665
Break and Enter Residential/Other,2018,10,23,8,34,4XX W 26TH AVE,Riley Park,491640.1817,5455021.509
Break and Enter Residential/Other,2018,9,10,21,30,4XX W 26TH AVE,Riley Park,491665.8315,5455029.574
Break and Enter Residential/Other,2018,11,10,12,30,4XX W 29TH AVE,Riley Park,491736.5099,5454718.087
Break and Enter Residential/Other,2018,10,24,17,57,4XX W 35TH AVE,Riley Park,491590.7709,5454097.406
Break and Enter Residential/Other,2018,3,9,7,37,4XX W 38TH AVE,Riley Park,491646.3498,5453730.576
Break and Enter Residential/Other,2018,7,31,16,0,4XX W 42ND AVE,Oakridge,491626.0133,5453312.742
Break and Enter Residential/Other,2018,12,16,21,5,4XX W 46TH AVE,Oakridge,491592.2571,5452891.14
Break and Enter Residential/Other,2018,8,16,22,33,4XX W 58TH AVE,Marpole,491585.8387,5451670.066
Break and Enter Residential/Other,2018,8,30,20,32,4XX W 58TH AVE,Marpole,491605.1765,5451669.893
Break and Enter Residential/Other,2018,10,18,3,25,4XX W 64TH AVE,Marpole,491504.8753,5451058.853
Break and Enter Residential/Other,2018,2,4,0,0,4XX W KING EDWARD AVE,Riley Park,491710.9956,5455150.067
Break and Enter Residential/Other,2018,1,15,15,44,50XX CAMBIE ST,Riley Park,491472.7368,5454099.035
Break and Enter Residential/Other,2018,9,30,14,0,50XX COLLINGWOOD ST,Dunbar-Southlands,486750.8041,5454270.619
Break and Enter Residential/Other,2018,3,8,11,0,50XX CYPRESS ST,Arbutus Ridge,489179.8185,5454219.414
Break and Enter Residential/Other,2018,2,21,10,52,50XX GLADSTONE ST,Kensington-Cedar Cottage,495484.301,5453957.372
Break and Enter Residential/Other,2018,8,15,0,0,50XX GLADSTONE ST,Kensington-Cedar Cottage,495484.3966,5453983.132
Break and Enter Residential/Other,2018,5,22,18,35,50XX GRANVILLE ST,Shaughnessy,489862.5103,5454230.739
Break and Enter Residential/Other,2018,1,19,11,0,50XX MAIN ST,Riley Park,492603.1403,5454052.039
Break and Enter Residential/Other,2018,2,6,9,0,50XX MARGUERITE ST,Shaughnessy,489509.1617,5454180.743
Break and Enter Residential/Other,2018,8,25,10,1,50XX SLOCAN ST,Renfrew-Collingwood,496048.6707,5453937.145
Break and Enter Residential/Other,2018,12,7,10,30,50XX WINDSOR ST,Kensington-Cedar Cottage,493843.4538,5453949.95
Break and Enter Residential/Other,2018,6,27,16,0,51XX ASH ST,South Cambie,491407.8086,5453966.003
Break and Enter Residential/Other,2018,10,1,14,29,51XX CAMBIE ST,Riley Park,491522.6674,5454032.47
Break and Enter Residential/Other,2018,11,12,19,0,51XX CAMBIE ST,Riley Park,491522.6674,5454032.47
Break and Enter Residential/Other,2018,10,31,9,23,51XX CONNAUGHT DR,Shaughnessy,489619.3739,5454054.691
Break and Enter Residential/Other,2018,1,11,18,17,51XX CONNAUGHT DR,Shaughnessy,489628.6791,5454066.815
Break and Enter Residential/Other,2018,10,23,4,0,51XX CYPRESS ST,Shaughnessy,489176.7478,5454106.401
Break and Enter Residential/Other,2018,11,13,20,0,51XX DUNBAR ST,Dunbar-Southlands,486520.3226,5454127.017
Break and Enter Residential/Other,2018,2,5,21,30,51XX EAST BLVD,Shaughnessy,488730.3409,5454085.56
Break and Enter Residential/Other,2018,6,7,12,0,51XX HOY ST,Renfrew-Collingwood,498125.8704,5453851.271
Break and Enter Residential/Other,2018,3,23,22,31,51XX HOY ST,Renfrew-Collingwood,498146.503,5453880.347
Break and Enter Residential/Other,2018,3,28,6,15,51XX INVERNESS ST,Kensington-Cedar Cottage,494155.432,5453916.012
Break and Enter Residential/Other,2018,3,18,11,41,51XX KERSLAND DR,Riley Park,491644.8183,5454032.38
Break and Enter Residential/Other,2018,2,9,0,0,51XX KERSLAND DR,Riley Park,491655.8275,5454008.883
Break and Enter Residential/Other,2018,3,28,20,27,51XX KERSLAND DR,Riley Park,491655.8275,5454008.883
Break and Enter Residential/Other,2018,6,14,10,55,51XX KERSLAND DR,Riley Park,491655.8275,5454008.883
Break and Enter Residential/Other,2018,11,4,2,0,51XX PRINCE ALBERT ST,Kensington-Cedar Cottage,493588.0612,5453880.031
Break and Enter Residential/Other,2018,6,26,21,11,51XX PRINCE EDWARD ST,Riley Park,492935.8648,5453966.832
Break and Enter Residential/Other,2018,7,5,0,0,51XX PRINCE EDWARD ST,Riley Park,492944.9512,5453964.829
Break and Enter Residential/Other,2018,11,5,11,0,51XX RUBY ST,Renfrew-Collingwood,497969.3235,5453910.212
Break and Enter Residential/Other,2018,9,11,11,30,51XX RUPERT ST,Renfrew-Collingwood,497051.0425,5453886.944
Break and Enter Residential/Other,2018,8,15,21,0,51XX SPENCER ST,Renfrew-Collingwood,497172.9478,5453887.53
Break and Enter Residential/Other,2018,12,7,22,40,51XX TRAFALGAR ST,Arbutus Ridge,487934.5899,5454127.491
Break and Enter Residential/Other,2018,3,20,9,20,52XX CHESTER ST,Kensington-Cedar Cottage,493500.2198,5453816.089
Break and Enter Residential/Other,2018,1,13,20,39,52XX CYPRESS ST,Shaughnessy,489165.7814,5454034.209
Break and Enter Residential/Other,2018,11,2,8,50,52XX KERSLAND DR,Riley Park,491660.914,5453965.235
Break and Enter Residential/Other,2018,5,31,14,30,52XX RUPERT ST,Renfrew-Collingwood,496983.2058,5453796.729
Break and Enter Residential/Other,2018,7,2,9,0,52XX RUPERT ST,Renfrew-Collingwood,496985.3982,5453783.094
Break and Enter Residential/Other,2018,11,3,18,0,53XX CAMBIE ST,Riley Park,491564.1875,5453764.632
Break and Enter Residential/Other,2018,2,20,14,0,53XX CLARENDON ST,Renfrew-Collingwood,495965.1292,5453737.339
Break and Enter Residential/Other,2018,8,28,14,21,53XX CLARENDON ST,Renfrew-Collingwood,495965.1292,5453737.339
Break and Enter Residential/Other,2018,12,10,10,10,53XX CYPRESS ST,Shaughnessy,489141.0943,5453879.632
Break and Enter Residential/Other,2018,7,23,0,35,53XX FLEMING ST,Kensington-Cedar Cottage,494695.9232,5453693.818
Break and Enter Residential/Other,2018,4,20,14,59,53XX FRASER ST,Kensington-Cedar Cottage,493420.2776,5453795.287
Break and Enter Residential/Other,2018,1,17,6,0,53XX GLADSTONE ST,Kensington-Cedar Cottage,495474.2947,5453773.675
Break and Enter Residential/Other,2018,7,7,16,40,53XX GRANVILLE ST,Shaughnessy,489843.7382,5453908.472
Break and Enter Residential/Other,2018,10,22,23,0,53XX GRANVILLE ST,Shaughnessy,489843.7382,5453908.472
Break and Enter Residential/Other,2018,4,9,19,0,53XX JOYCE ST,Renfrew-Collingwood,497505.3281,5453656.088
Break and Enter Residential/Other,2018,4,21,18,0,53XX LARCH ST,Arbutus Ridge,488157.0694,5453903.781
Break and Enter Residential/Other,2018,12,7,15,9,53XX MANSON ST,South Cambie,491313.3549,5453775.617
Break and Enter Residential/Other,2018,5,9,15,30,53XX MANSON ST,South Cambie,491322.4957,5453775.374
Break and Enter Residential/Other,2018,12,24,15,50,53XX RHODES ST,Renfrew-Collingwood,496338.8962,5453744.636
Break and Enter Residential/Other,2018,10,29,19,10,53XX SHERBROOKE ST,Kensington-Cedar Cottage,494080.4219,5453750.173
Break and Enter Residential/Other,2018,3,9,6,0,53XX WALES ST,Renfrew-Collingwood,496230.9401,5453698.633
Break and Enter Residential/Other,2018,4,15,22,0,53XX WINDSOR ST,Kensington-Cedar Cottage,493828.2036,5453763.324
Break and Enter Residential/Other,2018,7,21,6,15,54XX COMMERCIAL ST,Kensington-Cedar Cottage,494998.5385,5453623.119
Break and Enter Residential/Other,2018,5,13,20,11,54XX CONNAUGHT DR,Shaughnessy,489797.7736,5453751.329
Break and Enter Residential/Other,2018,10,23,9,55,54XX CONNAUGHT DR,Shaughnessy,489797.7736,5453751.329
Break and Enter Residential/Other,2018,7,14,17,0,54XX DUMFRIES ST,Kensington-Cedar Cottage,494594.2503,5453631.495
Break and Enter Residential/Other,2018,9,25,8,30,54XX DUNDEE ST,Renfrew-Collingwood,496541.2504,5453635.881
Break and Enter Residential/Other,2018,8,25,14,45,54XX LABURNUM ST,Shaughnessy,489050.241,5453828.158
Break and Enter Residential/Other,2018,4,23,8,26,54XX MAIN ST,Riley Park,492596.9007,5453654.489
Break and Enter Residential/Other,2018,7,31,20,2,54XX OAK ST,South Cambie,490686.4893,5453709.195
Break and Enter Residential/Other,2018,10,2,11,0,54XX ORMIDALE ST,Renfrew-Collingwood,498197.8355,5453524.164
Break and Enter Residential/Other,2018,12,26,19,1,54XX ORMIDALE ST,Renfrew-Collingwood,498197.8355,5453524.164
Break and Enter Residential/Other,2018,6,27,8,10,54XX RUPERT ST,Renfrew-Collingwood,496906.5766,5453657.776
Break and Enter Residential/Other,2018,11,5,18,7,54XX WILLOW ST,South Cambie,490983.9688,5453674.468
Break and Enter Residential/Other,2018,4,3,10,10,55XX ANGUS DR,Shaughnessy,489248.6717,5453685.29
Break and Enter Residential/Other,2018,11,7,0,0,55XX BALSAM ST,Arbutus Ridge,488253.4474,5453702.939
Break and Enter Residential/Other,2018,2,22,10,0,55XX BOUNDARY RD,Renfrew-Collingwood,498276.617,5453485.761
Break and Enter Residential/Other,2018,12,8,17,30,55XX CHESTER ST,Kensington-Cedar Cottage,493507.3417,5453501.874
Break and Enter Residential/Other,2018,9,23,15,59,55XX COMMERCIAL ST,Kensington-Cedar Cottage,494996.8212,5453454.994
Break and Enter Residential/Other,2018,6,14,17,14,55XX COMMERCIAL ST,Kensington-Cedar Cottage,494997.2245,5453493.419
Break and Enter Residential/Other,2018,1,28,22,0,55XX CROWN ST,Dunbar-Southlands,485902.9591,5453723.254
Break and Enter Residential/Other,2018,9,4,1,0,55XX CULLODEN ST,Kensington-Cedar Cottage,494298.9053,5453459.843
Break and Enter Residential/Other,2018,8,25,8,0,55XX FLEMING ST,Kensington-Cedar Cottage,494690.7334,5453458.454
Break and Enter Residential/Other,2018,3,17,15,41,55XX GLADSTONE ST,Kensington-Cedar Cottage,495482.7522,5453558.702
Break and Enter Residential/Other,2018,10,18,12,40,55XX HEATHER ST,South Cambie,491205.6663,5453579.859
Break and Enter Residential/Other,2018,3,16,16,0,55XX HOLLAND ST,Dunbar-Southlands,486007.3304,5453719.072
Break and Enter Residential/Other,2018,4,4,13,20,55XX INVERNESS ST,Kensington-Cedar Cottage,494198.8442,5453522.35
Break and Enter Residential/Other,2018,8,11,21,0,55XX INVERNESS ST,Kensington-Cedar Cottage,494199.2559,5453540.641
Break and Enter Residential/Other,2018,10,27,13,26,55XX OAK ST,Shaughnessy,490674.8749,5453607.137
Break and Enter Residential/Other,2018,10,29,13,28,55XX RUPERT ST,Renfrew-Collingwood,496858.4732,5453505.667
Break and Enter Residential/Other,2018,7,17,7,15,56XX ABERDEEN ST,Renfrew-Collingwood,497946.5463,5453288.18
Break and Enter Residential/Other,2018,1,9,17,0,56XX CHESTER ST,Kensington-Cedar Cottage,493503.9283,5453352.789
Break and Enter Residential/Other,2018,2,10,2,57,56XX DUNBAR ST,Dunbar-Southlands,486505.596,5453651.63
Break and Enter Residential/Other,2018,5,19,12,0,56XX HOLLAND ST,Dunbar-Southlands,485996.5951,5453589.781
Break and Enter Residential/Other,2018,12,9,16,13,56XX INVERNESS ST,Kensington-Cedar Cottage,494196.6143,5453423.278
Break and Enter Residential/Other,2018,9,1,13,0,56XX KERR ST,Renfrew-Collingwood,497065.6217,5453437.114
Break and Enter Residential/Other,2018,6,25,9,30,56XX KULLAHUN DR,Musqueam,484975.3339,5453753.953
Break and Enter Residential/Other,2018,6,10,0,0,56XX KULLAHUN DR,Musqueam,485028.4033,5453804.926
Break and Enter Residential/Other,2018,9,2,9,12,56XX LANARK ST,Kensington-Cedar Cottage,494488.1255,5453406.908
Break and Enter Residential/Other,2018,2,15,17,5,56XX MAPLE ST,Shaughnessy,488935.0248,5453577.232
Break and Enter Residential/Other,2018,8,23,19,5,56XX OSLER ST,Shaughnessy,490514.2505,5453533.238
Break and Enter Residential/Other,2018,9,24,21,43,56XX PRINCE EDWARD ST,Riley Park,492922.1292,5453492.274
Break and Enter Residential/Other,2018,9,25,19,0,56XX RUPERT ST,Renfrew-Collingwood,496867.5411,5453387.355
Break and Enter Residential/Other,2018,6,13,19,6,56XX SENLAC ST,Renfrew-Collingwood,497522.7143,5453249.663
Break and Enter Residential/Other,2018,6,12,12,30,56XX SHERBROOKE ST,Kensington-Cedar Cottage,494085.8615,5453400.879
Break and Enter Residential/Other,2018,2,9,11,45,56XX SHERBROOKE ST,Kensington-Cedar Cottage,494096.3267,5453442.65
Break and Enter Residential/Other,2018,12,8,0,19,56XX TYNE ST,Renfrew-Collingwood,497747.7539,5453284.368
Break and Enter Residential/Other,2018,10,22,19,2,56XX WILLOW ST,South Cambie,490979.9545,5453541.645
Break and Enter Residential/Other,2018,7,16,8,0,57XX ALMA ST,Dunbar-Southlands,486404.3819,5453553.224
Break and Enter Residential/Other,2018,4,22,7,57,57XX ANGUS DR,Kerrisdale,489252.0338,5453437.205
Break and Enter Residential/Other,2018,10,23,22,44,57XX CHURCHILL ST,Kerrisdale,489707.7852,5453472.309
Break and Enter Residential/Other,2018,3,30,9,0,57XX CREE ST,Sunset,492721.8322,5453267.614
Break and Enter Residential/Other,2018,1,17,8,0,57XX DUNBAR ST,Dunbar-Southlands,486512.38,5453485.451
Break and Enter Residential/Other,2018,3,10,9,12,57XX HUDSON ST,Oakridge,490178.2675,5453423.997
Break and Enter Residential/Other,2018,3,15,12,33,57XX HUDSON ST,Oakridge,490187.9013,5453441.488
Break and Enter Residential/Other,2018,5,31,8,20,57XX KERR ST,Killarney,497065.6707,5453266.067
Break and Enter Residential/Other,2018,2,1,11,52,57XX LARCH ST,Kerrisdale,488155.641,5453507.427
Break and Enter Residential/Other,2018,12,20,3,0,57XX MACDONALD ST,Kerrisdale,487818.3073,5453465.261
Break and Enter Residential/Other,2018,10,2,13,0,57XX MCKINNON ST,Killarney,497181.2394,5453280.46
Break and Enter Residential/Other,2018,8,13,18,0,57XX MCKINNON ST,Killarney,497181.3575,5453341.365
Break and Enter Residential/Other,2018,9,17,9,45,57XX NANAIMO ST,Victoria-Fraserview,495710.0609,5453325.61
Break and Enter Residential/Other,2018,7,26,21,15,57XX RHODES ST,Victoria-Fraserview,496352.3767,5453165.918
Break and Enter Residential/Other,2018,11,13,10,0,57XX ST MARGARETS ST,Victoria-Fraserview,495885.0826,5453289.447
Break and Enter Residential/Other,2018,6,1,23,5,58XX ALMA ST,Dunbar-Southlands,486393.1428,5453381.362
Break and Enter Residential/Other,2018,4,25,15,0,58XX BERKELEY ST,Victoria-Fraserview,495789.2743,5453153.049
Break and Enter Residential/Other,2018,4,13,12,10,58XX COMMERCIAL ST,Victoria-Fraserview,494990.4226,5453168.148
Break and Enter Residential/Other,2018,6,29,12,0,58XX CREE ST,Sunset,492710.8178,5453199.887
Break and Enter Residential/Other,2018,5,7,15,11,58XX DUNBAR ST,Dunbar-Southlands,486502.8862,5453451.836
Break and Enter Residential/Other,2018,10,11,7,0,58XX GRANVILLE ST,Oakridge,489841.3467,5453381.529
Break and Enter Residential/Other,2018,5,14,13,58,58XX INVERNESS ST,Sunset,494191.8034,5453220.202
Break and Enter Residential/Other,2018,2,2,15,27,58XX LANARK ST,Victoria-Fraserview,494482.1038,5453142.067
Break and Enter Residential/Other,2018,2,6,17,18,58XX LINCOLN ST,Killarney,498067.9627,5453225.512
Break and Enter Residential/Other,2018,7,28,3,0,58XX MAIN ST,Sunset,492608.4062,5453263.597
Break and Enter Residential/Other,2018,12,21,2,0,58XX MARGUERITE ST,Kerrisdale,489455.8097,5453360.933
Break and Enter Residential/Other,2018,6,10,11,0,58XX MCKINNON ST,Killarney,497170.6396,5453059.914
Break and Enter Residential/Other,2018,2,6,10,0,58XX MONTGOMERY ST,Oakridge,490393.3387,5453335.557
Break and Enter Residential/Other,2018,1,14,2,22,58XX OLYMPIC ST,Dunbar-Southlands,486197.9841,5453434.362
Break and Enter Residential/Other,2018,1,21,20,30,58XX SELKIRK ST,Oakridge,490285.0642,5453378.972
Break and Enter Residential/Other,2018,9,29,6,25,58XX SELKIRK ST,Oakridge,490285.0642,5453378.972
Break and Enter Residential/Other,2018,8,12,12,0,58XX SELKIRK ST,Oakridge,490293.8318,5453359.111
Break and Enter Residential/Other,2018,3,2,0,20,58XX WALES ST,Victoria-Fraserview,496246.2356,5453132.29
Break and Enter Residential/Other,2018,5,5,4,50,59XX ARGYLE ST,Victoria-Fraserview,494782.8946,5453036.46
Break and Enter Residential/Other,2018,11,17,2,0,59XX BATTISON ST,Killarney,497779.7782,5452990.992
Break and Enter Residential/Other,2018,11,3,13,0,59XX BEATRICE ST,Victoria-Fraserview,495127.7807,5453004.599
Break and Enter Residential/Other,2018,5,10,7,30,59XX BLENHEIM ST,Kerrisdale,486992.8682,5453300.828
Break and Enter Residential/Other,2018,5,22,9,0,59XX CHESTER ST,Sunset,493499.1263,5453127.004
Break and Enter Residential/Other,2018,5,22,22,24,59XX CHESTER ST,Sunset,493507.9551,5453096.807
Break and Enter Residential/Other,2018,1,19,23,0,59XX DUNBAR ST,Dunbar-Southlands,486510.0259,5453280.562
Break and Enter Residential/Other,2018,1,13,5,55,59XX OAK ST,Oakridge,490674.7459,5453258.301
Break and Enter Residential/Other,2018,5,3,0,30,5X E 12TH AVE,Mount Pleasant,492435.3707,5456386.602
Break and Enter Residential/Other,2018,10,26,14,0,5X E 37TH AVE,Riley Park,492388.7507,5453838.302
Break and Enter Residential/Other,2018,9,18,22,25,5X E HASTINGS ST,Central Business District,492491.4239,5458741.316
Break and Enter Residential/Other,2018,11,6,23,19,5X E HASTINGS ST,Central Business District,492491.4239,5458741.316
Break and Enter Residential/Other,2018,11,3,13,20,5X E PENDER ST,Central Business District,492486.4415,5458635.377
Break and Enter Residential/Other,2018,8,21,0,0,5X SW MARINE DR,Marpole,492167.585,5451084.282
Break and Enter Residential/Other,2018,3,31,21,0,5X W 12TH AVE,Mount Pleasant,492277.4011,5456401.164
Break and Enter Residential/Other,2018,2,8,22,0,5X W 17TH AVE,Riley Park,492271.3861,5455889.957
Break and Enter Residential/Other,2018,2,14,6,0,5X W 17TH AVE,Riley Park,492271.3861,5455889.957
Break and Enter Residential/Other,2018,6,10,6,18,5X W 17TH AVE,Riley Park,492271.3861,5455889.957
Break and Enter Residential/Other,2018,11,5,14,42,5X W 38TH AVE,Riley Park,492227.8581,5453752.513
Break and Enter Residential/Other,2018,1,16,17,0,5X W 42ND AVE,Oakridge,492208.8064,5453284.087
Break and Enter Residential/Other,2018,9,2,3,49,5X W 42ND AVE,Oakridge,492208.8064,5453284.087
Break and Enter Residential/Other,2018,12,11,16,0,5X W CORDOVA ST,Central Business District,492321.9081,5458882.126
Break and Enter Residential/Other,2018,2,14,17,0,5X W HASTINGS ST,Central Business District,492289.6201,5458781.922
Break and Enter Residential/Other,2018,7,14,12,0,5XX ALEXANDER ST,Strathcona,493230.6566,5459025.261
Break and Enter Residential/Other,2018,5,11,0,0,5XX BEATTY ST,Central Business District,492025.5723,5458643.374
Break and Enter Residential/Other,2018,1,14,10,0,5XX BOUNDARY RD,Hastings-Sunrise,498275.8499,5458510.562
Break and Enter Residential/Other,2018,10,19,0,0,5XX BURRARD ST,Central Business District,491418.073,5459303.482
Break and Enter Residential/Other,2018,3,28,22,2,5XX CAMPBELL AVE,Strathcona,493833.6427,5458584.744
Break and Enter Residential/Other,2018,4,6,9,0,5XX CASSIAR ST,Hastings-Sunrise,497761.3958,5458591.198
Break and Enter Residential/Other,2018,9,22,3,24,5XX DUNSMUIR ST,Central Business District,491623.6399,5458898.302
Break and Enter Residential/Other,2018,5,7,16,36,5XX E 11TH AVE,Mount Pleasant,493256.8472,5456440.446
Break and Enter Residential/Other,2018,7,13,18,0,5XX E 11TH AVE,Mount Pleasant,493267.5454,5456431.133
Break and Enter Residential/Other,2018,2,16,12,17,5XX E 15TH AVE,Mount Pleasant,493188.5434,5456060.972
Break and Enter Residential/Other,2018,2,1,15,0,5XX E 20TH AVE,Riley Park,493282.9559,5455573.599
Break and Enter Residential/Other,2018,4,20,0,0,5XX E 30TH AVE,Riley Park,493236.9863,5454541.247
Break and Enter Residential/Other,2018,5,9,16,0,5XX E 41ST AVE,Sunset,493176.5764,5453348.102
Break and Enter Residential/Other,2018,3,20,21,0,5XX E 44TH AVE,Sunset,493263.6799,5453046.455
Break and Enter Residential/Other,2018,3,26,22,15,5XX E 49TH AVE,Sunset,493163.5785,5452526.006
Break and Enter Residential/Other,2018,12,1,2,30,5XX E 51ST AVE,Sunset,493175.3679,5452322.686
Break and Enter Residential/Other,2018,6,6,0,30,5XX E 52ND AVE,Sunset,493215.8922,5452222.7
Break and Enter Residential/Other,2018,11,14,21,30,5XX E 54TH AVE,Sunset,493219.6316,5452020.64
Break and Enter Residential/Other,2018,6,29,22,0,5XX E 5TH AVE,Mount Pleasant,493266.7371,5457043.812
Break and Enter Residential/Other,2018,9,23,14,29,5XX E 5TH AVE,Mount Pleasant,493344.1534,5457052.949
Break and Enter Residential/Other,2018,5,13,3,0,5XX E 5TH AVE,Mount Pleasant,493362.2161,5457043.803
Break and Enter Residential/Other,2018,11,6,4,0,5XX E 61ST AVE,Sunset,493209.1646,5451349.255
Break and Enter Residential/Other,2018,12,1,0,39,5XX E 6TH AVE,Mount Pleasant,493247.8677,5456952.529
Break and Enter Residential/Other,2018,5,12,22,0,5XX E 6TH AVE,Mount Pleasant,493308.4357,5456943.1
Break and Enter Residential/Other,2018,6,8,22,0,5XX E 8TH AVE,Mount Pleasant,493272.7087,5456742.579
Break and Enter Residential/Other,2018,2,11,10,42,5XX E BROADWAY AVE,Mount Pleasant,493344.2638,5456636.082
Break and Enter Residential/Other,2018,12,29,20,51,5XX E BROADWAY AVE,Mount Pleasant,493344.2638,5456636.082
Break and Enter Residential/Other,2018,3,17,23,38,5XX E GEORGIA ST,Strathcona,493265.0812,5458409.674
Break and Enter Residential/Other,2018,10,27,9,0,5XX E GEORGIA ST,Strathcona,493265.0812,5458409.674
Break and Enter Residential/Other,2018,6,12,17,0,5XX E HASTINGS ST,Strathcona,493245.0462,5458727.839
Break and Enter Residential/Other,2018,2,4,19,36,5XX E HASTINGS ST,Strathcona,493253.2494,5458727.566
Break and Enter Residential/Other,2018,7,7,1,2,5XX E HASTINGS ST,Strathcona,493291.531,5458726.292
Break and Enter Residential/Other,2018,10,27,16,0,5XX E PENDER ST,Strathcona,493208.6516,5458621.545
Break and Enter Residential/Other,2018,4,22,19,15,5XX E PENDER ST,Strathcona,493222.2477,5458621.112
Break and Enter Residential/Other,2018,6,23,23,50,5XX E PENDER ST,Strathcona,493330.7266,5458608.513
Break and Enter Residential/Other,2018,12,30,13,25,5XX GARDEN DR,Grandview-Woodland,495787.8755,5458577.496
Break and Enter Residential/Other,2018,2,9,3,0,5XX GRANVILLE ST,Central Business District,491583.1407,5459034.651
Break and Enter Residential/Other,2018,5,23,9,22,5XX HAWKS AVE,Strathcona,493659.7312,5458518.562
Break and Enter Residential/Other,2018,8,31,11,35,5XX HOMER ST,Central Business District,491795.2259,5458836.474
Break and Enter Residential/Other,2018,3,6,16,30,5XX HORNBY ST,Central Business District,491422.4289,5459157.79
Break and Enter Residential/Other,2018,1,14,9,13,5XX KINGSWAY AVE,Mount Pleasant,493292.7761,5456088.396
